n;RN;AVL;B-1;B-5;B-10
840;10361;17276;19769;15544;15525
841;10310;17236;19754;15588;15568
842;10308;17301;19800;15635;15553
843;10363;17397;19908;15604;15614
844;10353;17328;19907;15667;15627
845;10365;17374;19883;15670;15638
846;10430;17437;19898;15715;15669
847;10381;17414;19939;15724;15692
848;10386;17419;20030;15745;15715
849;10410;17461;19965;15752;15698
850;10407;17519;20046;15785;15733
851;10504;17568;20054;15790;15750
852;10497;17597;20083;15827;15784
853;10488;17608;20099;15850;15811
854;10508;17609;20181;15842;15819
855;10540;17650;20181;15889;15867
856;10502;17622;20207;15893;15864
857;10607;17679;20213;15925;15904
858;10584;17745;20262;15933;15891
859;10546;17691;20301;15973;15947
860;10590;17743;20343;16014;15950
861;10582;17771;20385;16025;15962
862;10599;17730;20343;15997;15980
863;10654;17809;20417;16077;16024
864;10677;17768;20430;16067;16034
865;10611;17894;20426;16118;16062
866;10609;17838;20402;16116;16039
867;10659;17922;20504;16132;16085
868;10639;17881;20532;16177;16106
869;10689;17957;20564;16202;16138
870;10739;17969;20609;16211;16162
871;10697;17987;20564;16216;16158
872;10779;18032;20603;16274;16196
873;10770;18024;20615;16286;16194
874;10783;18033;20684;16313;16230
875;10787;18104;20710;16305;16256
876;10818;18082;20717;16339;16258
877;10753;18132;20765;16372;16305
878;10809;18123;20719;16391;16299
879;10828;18156;20857;16414;16332
880;10839;18201;20863;16408;16343
881;10880;18228;20896;16454;16369
882;10926;18287;20788;16447;16401
883;10906;18268;20946;16444;16418
884;10883;18318;20964;16507;16439
885;10927;18348;21001;16544;16454
886;10928;18283;21039;16547;16465
887;10931;18338;21057;16581;16491
888;10954;18428;21056;16583;16552
889;10969;18383;21034;16560;16539
890;10992;18416;21114;16625;16580
891;10996;18453;21147;16634;16583
892;11039;18540;21186;16657;16587
893;11047;18561;21202;16682;16624
894;11041;18556;21230;16731;16643
895;11084;18573;21316;16712;16647
896;11104;18621;21258;16770;16691
897;11106;18634;21306;16787;16703
898;11122;18693;21354;16782;16701
899;11137;18674;21299;16800;16728
900;11136;18668;21397;16807;16749
901;11156;18702;21389;16826;16774
902;11116;18721;21350;16883;16810
903;11152;18781;21394;16921;16817
904;11178;18727;21446;16923;16846
905;11198;18823;21480;16926;16855
906;11216;18838;21529;16963;16885
907;11213;18844;21552;16977;16901
908;11223;18826;21558;16968;16913
909;11194;18860;21594;17038;16946
910;11269;18917;21619;17063;16951
911;11272;18966;21621;17093;16984
912;11308;18977;21699;17092;17015
913;11352;19036;21706;17112;17023
914;11342;19036;21706;17129;17039
915;11342;19013;21799;17163;17082
916;11343;19097;21775;17177;17098
917;11415;19128;21868;17192;17146
918;11363;19093;21800;17188;17108
919;11452;19206;21833;17234;17164
920;11408;19134;21937;17244;17185
921;11411;19198;21936;17242;17183
922;11458;19191;21951;17286;17201
923;11383;19184;21934;17310;17225
924;11500;19247;21970;17320;17262
925;11479;19228;22027;17368;17265
926;11447;19238;22141;17372;17282
927;11523;19363;22098;17409;17301
928;11500;19319;22100;17440;17336
929;11498;19400;22112;17423;17360
930;11521;19403;22125;17482;17377
931;11568;19453;22179;17483;17395
932;11621;19516;22182;17483;17437
933;11581;19478;22226;17568;17458
934;11565;19441;22243;17550;17455
935;11623;19514;22258;17619;17479
936;11698;19606;22338;17612;17483
937;11692;19621;22324;17601;17551
938;11673;19654;22361;17615;17532
939;11693;19631;22416;17658;17525
940;11658;19568;22394;17671;17585
941;11692;19682;22421;17699;17587
942;11738;19741;22503;17711;17630
943;11707;19723;22519;17732;17639
944;11768;19790;22464;17752;17652
945;11813;19803;22602;17763;17689
946;11779;19809;22459;17832;17707
947;11785;19762;22638;17827;17711
948;11784;19848;22646;17813;17739
949;11811;19904;22686;17835;17765
950;11880;19929;22712;17898;17797
951;11918;19926;22729;17915;17804
952;11933;19943;22708;17905;17813
953;11857;19887;22739;17944;17846
954;11871;20006;22871;17946;17866
955;11920;20029;22753;17994;17880
956;11894;20043;22871;18035;17879
957;11925;20082;22870;18029;17923
958;11916;20058;22868;18072;17946
959;11905;20037;22987;18087;17946
960;11991;20117;22926;18109;17993
961;12021;20126;23021;18171;18017
962;12044;20143;23016;18147;18030
963;11975;20137;23040;18176;18059
964;11992;20234;23034;18176;18062
965;12076;20268;23049;18209;18103
966;12079;20232;23063;18234;18128
967;12106;20248;23170;18280;18142
968;12085;20372;23226;18272;18144
969;12112;20342;23124;18296;18156
970;12111;20374;23249;18294;18186
971;12111;20404;23265;18335;18201
972;12198;20412;23289;18327;18254
973;12180;20457;23235;18389;18261
974;12138;20441;23390;18375;18273
975;12214;20491;23313;18393;18283
976;12173;20524;23409;18493;18321
977;12191;20471;23365;18508;18340
978;12217;20601;23390;18491;18353
979;12201;20564;23445;18506;18381
980;12280;20623;23480;18519;18391
981;12256;20597;23356;18536;18404
982;12218;20610;23508;18558;18418
983;12251;20630;23649;18580;18481
984;12309;20699;23554;18639;18502
985;12352;20720;23655;18637;18494
986;12321;20775;23623;18654;18526
987;12374;20824;23636;18681;18573
988;12326;20758;23669;18721;18564
989;12396;20832;23659;18700;18582
990;12389;20853;23717;18716;18625
991;12439;20904;23706;18756;18636
992;12382;20871;23770;18774;18631
993;12447;20939;23821;18789;18673
994;12459;20916;23899;18809;18714
995;12446;20932;23892;18872;18711
996;12447;20948;23873;18864;18708
997;12481;20956;23938;18885;18738
998;12519;21021;23915;18931;18785
999;12474;21055;23972;18879;18790
