n;RN;AVL;B-1;B-5;B-10
210;2132;3454;4131;3339;3276
211;2155;3477;4154;3339;3299
212;2169;3520;4182;3367;3319
213;2165;3531;4199;3384;3330
214;2185;3514;4207;3403;3349
215;2207;3557;4220;3415;3354
216;2216;3576;4260;3431;3387
217;2211;3577;4280;3456;3398
218;2237;3606;4312;3470;3424
219;2259;3670;4335;3489;3433
220;2260;3654;4353;3511;3460
221;2269;3680;4383;3536;3473
222;2289;3692;4387;3544;3482
223;2299;3740;4420;3570;3501
224;2314;3749;4461;3584;3519
225;2315;3738;4473;3605;3537
226;2326;3795;4502;3610;3556
227;2322;3786;4484;3642;3584
228;2373;3827;4537;3665;3592
229;2341;3814;4536;3669;3607
230;2381;3856;4604;3698;3619
231;2389;3888;4621;3707;3648
232;2405;3908;4647;3736;3659
233;2399;3921;4637;3744;3676
234;2433;3939;4654;3763;3697
235;2422;3931;4688;3768;3714
236;2453;3987;4710;3788;3732
237;2447;3982;4744;3812;3754
238;2463;4006;4781;3831;3768
239;2485;4023;4781;3856;3791
240;2489;4044;4787;3860;3802
241;2504;4078;4829;3876;3815
242;2542;4104;4867;3907;3844
243;2498;4113;4869;3916;3865
244;2550;4123;4914;3945;3863
245;2557;4138;4920;3965;3885
246;2565;4173;4973;3968;3907
247;2582;4188;4972;3992;3919
248;2575;4212;4969;4019;3941
249;2604;4243;5020;4042;3960
250;2616;4265;5042;4053;3981
251;2614;4271;5056;4070;4000
252;2630;4287;5088;4072;4009
253;2631;4276;5125;4112;4041
254;2648;4354;5113;4120;4048
255;2674;4345;5176;4147;4061
256;2680;4371;5160;4141;4082
257;2716;4394;5197;4176;4108
258;2676;4387;5235;4193;4128
259;2708;4412;5233;4209;4128
260;2762;4463;5261;4235;4161
261;2766;4483;5290;4247;4178
262;2768;4471;5325;4262;4195
263;2726;4484;5338;4273;4203
264;2762;4518;5359;4300;4222
265;2816;4559;5403;4321;4236
266;2782;4554;5417;4333;4256
267;2822;4609;5430;4368;4283
268;2832;4615;5451;4383;4291
269;2830;4630;5486;4398;4313
270;2848;4657;5502;4421;4323
271;2876;4657;5546;4439;4354
272;2880;4688;5530;4455;4362
273;2887;4717;5576;4465;4387
274;2903;4762;5564;4489;4415
275;2929;4747;5617;4509;4413
276;2906;4764;5647;4514;4435
277;2923;4763;5649;4551;4450
278;2986;4832;5700;4559;4475
279;2945;4826;5718;4567;4500
280;2993;4850;5716;4603;4511
281;2968;4854;5770;4611;4528
282;3009;4886;5784;4635;4534
283;3043;4944;5790;4650;4570
284;3009;4913;5809;4663;4583
285;3033;4951;5871;4688;4600
286;3039;4931;5891;4709;4624
287;3054;4999;5886;4729;4627
288;3057;5003;5918;4743;4652
289;3099;5019;5939;4766;4662
290;3095;5047;5961;4786;4692
291;3072;5079;5988;4791;4707
292;3119;5086;6019;4815;4727
293;3110;5086;6024;4842;4734
294;3127;5116;6063;4855;4756
295;3168;5171;6069;4870;4778
296;3188;5199;6120;4897;4802
297;3163;5174;6139;4906;4815
298;3217;5220;6156;4924;4843
299;3208;5236;6200;4934;4843
300;3209;5241;6184;4966;4876
301;3237;5295;6254;4983;4885
302;3212;5282;6268;5005;4904
303;3267;5324;6274;5016;4923
304;3232;5345;6325;5041;4945
305;3288;5385;6335;5072;4969
306;3269;5367;6318;5070;4985
307;3318;5427;6361;5095;4991
308;3334;5430;6422;5105;5007
309;3316;5439;6416;5125;5043
310;3351;5458;6444;5164;5065
311;3356;5497;6471;5167;5061
312;3377;5505;6503;5183;5088
313;3375;5491;6524;5218;5112
314;3384;5529;6541;5230;5132
315;3418;5563;6555;5243;5149
316;3460;5604;6585;5264;5165
317;3411;5620;6604;5270;5185
318;3431;5633;6617;5293;5194
319;3462;5647;6665;5306;5206
320;3481;5676;6686;5335;5232
321;3480;5681;6731;5345;5266
322;3475;5684;6760;5373;5284
323;3476;5721;6734;5387;5286
324;3498;5754;6763;5415;5313
325;3524;5759;6822;5427;5318
326;3536;5799;6810;5454;5341
327;3527;5811;6844;5462;5354
328;3580;5859;6856;5475;5402
329;3571;5883;6906;5494;5385
330;3584;5859;6920;5513;5425
331;3623;5888;6960;5540;5436
332;3611;5927;6967;5556;5465
333;3620;5935;6991;5564;5491
334;3619;5918;7014;5594;5495
335;3611;5968;7032;5615;5503
336;3676;6006;7077;5633;5542
337;3656;6024;7072;5663;5550
338;3671;6014;7090;5674;5572
339;3699;6078;7141;5684;5581
340;3683;6045;7171;5716;5585
341;3741;6089;7176;5728;5631
342;3720;6138;7205;5746;5650
343;3747;6145;7220;5772;5665
344;3760;6163;7268;5771;5705
345;3753;6173;7266;5801;5698
346;3801;6214;7306;5824;5732
347;3822;6274;7319;5852;5741
348;3792;6241;7338;5875;5775
349;3842;6284;7351;5872;5779
350;3840;6288;7402;5898;5815
351;3842;6328;7409;5929;5812
352;3858;6345;7480;5946;5848
353;3886;6394;7464;5956;5861
354;3889;6358;7496;5972;5895
355;3913;6409;7520;5985;5884
356;3913;6445;7535;6023;5929
357;3933;6447;7569;6025;5936
358;3916;6440;7582;6059;5950
359;3970;6489;7626;6071;5966
360;3957;6515;7633;6078;5996
361;3960;6546;7664;6108;6020
362;3996;6548;7678;6127;6041
363;4002;6555;7702;6162;6058
364;4018;6602;7722;6157;6067
365;4023;6601;7758;6184;6090
366;4046;6633;7797;6181;6108
367;4087;6666;7813;6221;6133
368;4078;6656;7867;6236;6146
369;4062;6689;7879;6239;6165
370;4074;6692;7863;6297;6176
371;4100;6757;7913;6282;6207
372;4111;6720;7906;6326;6229
373;4120;6740;7913;6322;6229
374;4119;6772;7985;6340;6273
375;4139;6812;8008;6374;6287
376;4161;6857;8004;6378;6297
377;4169;6859;8023;6409;6326
378;4166;6855;8078;6432;6359
379;4186;6884;8110;6456;6372
380;4194;6919;8107;6466;6387
381;4231;6985;8129;6499;6393
382;4217;6986;8165;6492;6430
383;4226;6965;8193;6530;6432
384;4243;6991;8205;6541;6454
385;4297;7060;8230;6556;6461
