n;RN;AVL;B-1;B-5;B-10
953;19303;21748;28224;21079;20265
954;19328;21773;28252;21101;20289
955;19349;21798;28293;21123;20313
956;19372;21823;28321;21145;20346
957;19393;21848;28356;21169;20368
958;19426;21873;28385;21193;20390
959;19447;21898;28451;21225;20412
960;19470;21923;28476;21247;20434
961;19491;21948;28508;21269;20456
962;19516;21973;28534;21291;20478
963;19537;21998;28573;21315;20502
964;19560;22023;28599;21339;20526
965;19581;22048;28632;21371;20550
966;19608;22073;28659;21393;20574
967;19629;22098;28705;21415;20614
968;19652;22123;28731;21437;20635
969;19673;22148;28764;21461;20656
970;19698;22173;28791;21485;20677
971;19719;22198;28831;21524;20698
972;19742;22223;28858;21546;20719
973;19763;22248;28892;21568;20740
974;19792;22273;28920;21590;20763
975;19813;22298;28973;21614;20786
976;19836;22323;28999;21638;20809
977;19857;22348;29032;21669;20832
978;19882;22373;29059;21691;20863
979;19903;22398;29099;21713;20884
980;19926;22423;29126;21735;20905
981;19947;22448;29160;21759;20926
982;19974;22473;29188;21783;20947
983;19995;22498;29235;21814;20968
984;20018;22523;29262;21836;20989
985;20039;22548;29296;21858;21012
986;20064;22573;29324;21880;21035
987;20085;22598;29365;21904;21058
988;20108;22623;29393;21928;21081
989;20129;22648;29428;21959;21112
990;20160;22673;29457;21982;21133
991;20181;22698;29517;22005;21154
992;20204;22723;29543;22028;21175
993;20225;22748;29576;22053;21196
994;20250;22773;29603;22078;21217
995;20271;22798;29643;22111;21238
996;20294;22823;29670;22134;21261
997;20315;22848;29704;22157;21284
998;20342;22873;29732;22180;21307
999;20363;22898;29779;22205;21330
